Designator,Footprint,Quantity,Value,LCSC Part #
BT201,532610271,1,Li_Po,C177225
"C101, C311",0402,2,12p,
C102,0603,1,100n,C14663
C103,0402,1,12p,C326662
C201,0805,1,1u,
"C202, C207, C208, C209, C210, C211",0603,6,100n,
"C203, C204, C212",0805,3,10u,C15850
"C205, C206",0805,2,"4,7u",C98192
C301,0603,1,10uF,C2959727
C302,0402,1,10nF,C60133
"C303, C304",0402,2,10nF,
C305,0402,1,33nF,C301939
C306,0402,1,2.2nF,C7393866
C307,0402,1,4.7pF,C2915773
C308,0402,1,1.5pF,C189471
C309,0402,1,1pF,C309455
C310,0402,1,12p,C1547
D201,0603,1,GREEN,C19171301
D202,0603,1,YELL,C965800
IC201,SOT95P280X145-5N,1,TPS7A0233PDBVR,
J101,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_14P_2.0,
J102,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x03,C19192025
J103,PinHeader_2x07_P1.27mm_Vertical_SMD,1,Conn_ST_STDC14,
J301,SMA_Amphenol_132134-11_Vertical,1,Conn_Coaxial,C496550
L301,0402,1,8.2nH,C7427065
L302,0402,1,3.9nH,C6807988
L303,0402,1,2.7nH,C434826
"R101, R102",0603,2,5.1K,C2907044
R103,0603,1,10k,
"R104, R105, R206",0603,3,10k,C98220
"R201, R203, R204, R205",0603,4,"1,5k",C22843
R202,0603,1,"46,4K",C3013203
R301,0402,1,22K,C82868
R302,0402,1,1M,C93949
SW101,SW_PUSH_6mm,1,SW_Push,
U101,SOT-23-6,1,USBLC6-2SC6,C81523
U102,LQFP-48_7x7mm_P0.5mm,1,STM32F303CCTx,
U201,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24072RGT,C140288
U301,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,NRF24L01,C8791
"VR101, VR102",RKJXV1224005,2,RKJXV1224005,
Y101,TSX3225160000MF18XAC0,1,16MHz,C1986974
Y301,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
